fam_id_0.40,fam_type,fam_name,clusters_in_fam,mibig_ids
1,known_family,fengycin,91,BGC0001095
2,unknown_family,u_Others_2,45,
3,unknown_family,u_Others_3,37,
4,unknown_family,u_PKSother_4,35,
5,unknown_family,u_Terpene_5,34,
6,unknown_family,u_Terpene_6,34,
7,known_family,petrobactin,33,BGC0000942
8,unknown_family,u_RiPPs_8,31,
9,unknown_family,u_RiPPs_9,28,
10,known_family,bacilysin;bacilysin,22,BGC0001184;BGC0000888
11,known_family,surfactin,21,BGC0000433
12,known_family,bacillaene,21,BGC0001089
13,unknown_family,u_NRPS_13,19,
14,unknown_family,u_RiPPs_14,16,
15,unknown_family,u_PKSother_15,16,
16,unknown_family,u_Terpene_16,16,
17,unknown_family,u_Terpene_17,16,
18,known_family,subtilosin A,15,BGC0000602
19,known_family,koranimine,14,BGC0000377
20,unknown_family,u_Terpene_20,14,
21,unknown_family,u_RiPPs_21,13,
22,unknown_family,u_RiPPs_22,13,
23,unknown_family,u_RiPPs_23,13,
24,unknown_family,u_RiPPs_24,12,
25,unknown_family,u_NRPS_25,12,
26,unknown_family,u_NRPS_26,12,
27,known_family,pulcherriminic acid,12,BGC0002103
28,unknown_family,u_Others_28,11,
29,unknown_family,u_RiPPs_29,11,
30,unknown_family,u_NRPS_30,9,
31,unknown_family,u_Others_31,8,
32,unknown_family,u_NRPS_32,8,
33,known_family,macrolactin H;macrolactin B;macrolactin 1c;macrolactin E;macrolactin H,8,BGC0001383;BGC0000181
34,unknown_family,u_Others_34,7,
35,unknown_family,u_RiPPs_35,7,
36,known_family,difficidin,7,BGC0000176
37,unknown_family,u_PKSother_37,7,
38,unknown_family,u_Terpene_38,7,
39,unknown_family,u_PKS-NRP_Hybrids_39,7,
40,known_family,plantazolicin;plantazolicin,6,BGC0000569;BGC0001173
41,known_family,entianin;subtilin;ericin S,6,BGC0000506;BGC0000559;BGC0000511
42,unknown_family,u_RiPPs_42,6,
43,known_family,polymyxin B;macolacin;polymyxin;colistin A;colistin B,6,BGC0001153;BGC0002653;BGC0000408;BGC0001192
44,unknown_family,u_PKSother_44,6,
45,unknown_family,u_Terpene_45,6,
46,unknown_family,u_RiPPs_46,5,
47,known_family,sporulation killing factor;subtilomycin,5,BGC0000601;BGC0000560
48,unknown_family,u_NRPS_48,5,
49,unknown_family,u_NRPS_49,5,
50,unknown_family,u_RiPPs_50,4,
51,unknown_family,u_RiPPs_51,4,
52,unknown_family,u_RiPPs_52,4,
53,unknown_family,u_RiPPs_53,4,
54,unknown_family,u_RiPPs_54,4,
55,unknown_family,u_RiPPs_55,4,
56,unknown_family,u_RiPPs_56,4,
57,unknown_family,u_RiPPs_57,4,
58,known_family,cytolysin ClyLl;cytolysin ClyLs,4,BGC0000504
59,known_family,lichenysin,4,BGC0000381
60,unknown_family,u_NRPS_60,4,
61,known_family,tridecaptin;tridecaptin M,4,BGC0000449;BGC0001843
62,unknown_family,u_PKSother_62,4,
63,unknown_family,u_PKSother_63,4,
64,unknown_family,u_Others_64,3,
65,unknown_family,u_Others_65,3,
66,unknown_family,u_Others_66,3,
67,unknown_family,u_Others_67,3,
68,known_family,bacillopaline,3,BGC0002488
69,known_family,huazacin,3,BGC0001887
70,unknown_family,u_RiPPs_70,3,
71,unknown_family,u_RiPPs_71,3,
72,unknown_family,u_RiPPs_72,3,
73,unknown_family,u_RiPPs_73,3,
74,unknown_family,u_RiPPs_74,3,
75,unknown_family,u_RiPPs_75,3,
76,unknown_family,u_RiPPs_76,3,
77,known_family,sublancin 168,3,BGC0000558
78,unknown_family,u_RiPPs_78,3,
79,unknown_family,u_RiPPs_79,3,
80,unknown_family,u_RiPPs_80,3,
81,unknown_family,u_RiPPs_81,3,
82,unknown_family,u_RiPPs_82,3,
83,unknown_family,u_NRPS_83,3,
84,unknown_family,u_PKSother_84,3,
85,unknown_family,u_PKSother_85,3,
86,unknown_family,u_Terpene_86,3,
87,unknown_family,u_Terpene_87,3,
88,unknown_family,u_Terpene_88,3,
89,unknown_family,u_PKS-NRP_Hybrids_89,3,
90,unknown_family,u_Others_90,2,
91,unknown_family,u_Others_91,2,
92,unknown_family,u_Others_92,2,
93,known_family,thurincin H,2,BGC0000600
94,unknown_family,u_RiPPs_94,2,
95,unknown_family,u_RiPPs_95,2,
96,unknown_family,u_RiPPs_96,2,
