bgc_id,product,bigscape_class,genome_id,accn_id,gcf_0.50,gcf_0.30,gcf_0.40,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30
CP128166.1.region007,RiPP-like,RiPPs,GCA_030291975.1,CP128166.1,2975,3089,3089,2582,272,unknown_family,u_RiPPs_272
CP128166.1.region001,NI-siderophore,Others,GCA_030291975.1,CP128166.1,3322,3322,3322,3322,3,known_family,petrobactin
CP128166.1.region002,LAP,RiPPs,GCA_030291975.1,CP128166.1,3433,3433,3433,3065,4,unknown_family,u_RiPPs_4
CP128166.1.region005,RiPP-like,RiPPs,GCA_030291975.1,CP128166.1,3057,3057,3057,2582,5,unknown_family,u_RiPPs_5
CP128166.1.region006,betalactone,Others,GCA_030291975.1,CP128166.1,3563,2937,3563,2937,1,unknown_family,u_Others_1
CP128166.1.region008,NRP-metallophore.NRPS,Others,GCA_030291975.1,CP128166.1,3067,3067,3067,794,6,unknown_family,u_Others_6
CP128166.1.region004,terpene,Terpene,GCA_030291975.1,CP128166.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2
CP128166.1.region003,lassopeptide,RiPPs,GCA_030291975.1,CP128166.1,3558,3259,3259,3259,35,unknown_family,u_RiPPs_35
CP128118.1.region007,LAP,RiPPs,GCA_030292075.1,CP128118.1,2582,2582,2582,2582,14,unknown_family,u_RiPPs_14
CP128118.1.region002,NRPS,NRPS,GCA_030292075.1,CP128118.1,3003,3003,3003,,39,unknown_family,u_NRPS_39
CP128118.1.region001,NRPS,NRPS,GCA_030292075.1,CP128118.1,351,351,351,,21,known_family,koranimine
CP128118.1.region005,terpene,Terpene,GCA_030292075.1,CP128118.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18
CP128118.1.region003,betalactone,Others,GCA_030292075.1,CP128118.1,2554,3422,2554,794,13,unknown_family,u_Others_13
CP128118.1.region008,terpene,Terpene,GCA_030292075.1,CP128118.1,2583,2617,2583,2488,17,unknown_family,u_Terpene_17
CP128118.1.region006,lassopeptide,RiPPs,GCA_030292075.1,CP128118.1,3007,3007,3007,2582,25,unknown_family,u_RiPPs_25
CP128118.1.region004,T3PKS,PKSother,GCA_030292075.1,CP128118.1,3421,3421,3421,,16,unknown_family,u_PKSother_16
CP128118.1.region009,NI-siderophore,Others,GCA_030292075.1,CP128118.1,3556,3415,3556,794,12,unknown_family,u_Others_12
CP128152.1.region006,NRPS,NRPS,GCA_030292135.1,CP128152.1,3455,3070,3455,,15,unknown_family,u_NRPS_15
CP128152.1.region007,RiPP-like,RiPPs,GCA_030292135.1,CP128152.1,3071,3071,3071,2582,5,unknown_family,u_RiPPs_5
CP128151.1.region002,arylpolyene.NRPS,Others,GCA_030292135.1,CP128151.1,3063,3063,3063,794,151,unknown_family,u_Others_151
CP128152.1.region005,RiPP-like,RiPPs,GCA_030292135.1,CP128152.1,3069,3069,3069,2582,26,unknown_family,u_RiPPs_26
CP128152.1.region002,NI-siderophore,Others,GCA_030292135.1,CP128152.1,3322,3322,3322,3322,3,known_family,petrobactin
CP128151.1.region001,NRPS,NRPS,GCA_030292135.1,CP128151.1,2910,2910,2910,,31,unknown_family,u_NRPS_31
CP128152.1.region003,NRP-metallophore.NRPS,Others,GCA_030292135.1,CP128152.1,3067,3067,3067,794,6,unknown_family,u_Others_6
CP128151.1.region003,NRPS,NRPS,GCA_030292135.1,CP128151.1,3388,3064,3388,,314,unknown_family,u_NRPS_314
CP128152.1.region008,terpene,Terpene,GCA_030292135.1,CP128152.1,2941,2941,2941,2941,2,unknown_family,u_Terpene_2
CP128152.1.region004,betalactone,Others,GCA_030292135.1,CP128152.1,3068,3453,3068,2937,1,unknown_family,u_Others_1
