bgc_id,product,bigscape_class,genome_id,accn_id,gcf_0.50,gcf_0.30,gcf_0.40,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,fam_id_0.40,fam_type_0.40,fam_known_compounds_0.40
CP128166.1.region007,RiPP-like,RiPPs,GCA_030291975.1,CP128166.1,2975,3089,3089,2582,272,unknown_family,u_RiPPs_272,239,unknown_family,u_RiPPs_239
CP128166.1.region001,NI-siderophore,Others,GCA_030291975.1,CP128166.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin
CP128166.1.region002,LAP,RiPPs,GCA_030291975.1,CP128166.1,3433,3433,3433,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
CP128166.1.region005,RiPP-like,RiPPs,GCA_030291975.1,CP128166.1,3057,3057,3057,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9
CP128166.1.region006,betalactone,Others,GCA_030291975.1,CP128166.1,3563,2937,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
CP128166.1.region008,NRP-metallophore.NRPS,Others,GCA_030291975.1,CP128166.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
CP128166.1.region004,terpene,Terpene,GCA_030291975.1,CP128166.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
CP128166.1.region003,lassopeptide,RiPPs,GCA_030291975.1,CP128166.1,3558,3259,3259,3259,35,unknown_family,u_RiPPs_35,29,unknown_family,u_RiPPs_29
CP128118.1.region007,LAP,RiPPs,GCA_030292075.1,CP128118.1,2582,2582,2582,2582,14,unknown_family,u_RiPPs_14,14,unknown_family,u_RiPPs_14
CP128118.1.region002,NRPS,NRPS,GCA_030292075.1,CP128118.1,3003,3003,3003,,39,unknown_family,u_NRPS_39,32,unknown_family,u_NRPS_32
CP128118.1.region001,NRPS,NRPS,GCA_030292075.1,CP128118.1,351,351,351,,21,known_family,koranimine,19,known_family,koranimine
CP128118.1.region005,terpene,Terpene,GCA_030292075.1,CP128118.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18,17,unknown_family,u_Terpene_17
CP128118.1.region003,betalactone,Others,GCA_030292075.1,CP128118.1,2554,3422,2554,794,13,unknown_family,u_Others_13,1,known_family,fengycin
CP128118.1.region008,terpene,Terpene,GCA_030292075.1,CP128118.1,2583,2617,2583,2488,17,unknown_family,u_Terpene_17,16,unknown_family,u_Terpene_16
CP128118.1.region006,lassopeptide,RiPPs,GCA_030292075.1,CP128118.1,3007,3007,3007,2582,25,unknown_family,u_RiPPs_25,22,unknown_family,u_RiPPs_22
CP128118.1.region004,T3PKS,PKSother,GCA_030292075.1,CP128118.1,3421,3421,3421,,16,unknown_family,u_PKSother_16,15,unknown_family,u_PKSother_15
CP128118.1.region009,NI-siderophore,Others,GCA_030292075.1,CP128118.1,3556,3415,3556,794,12,unknown_family,u_Others_12,3,unknown_family,u_Others_3
CP128152.1.region006,NRPS,NRPS,GCA_030292135.1,CP128152.1,3455,3070,3455,,15,unknown_family,u_NRPS_15,13,unknown_family,u_NRPS_13
CP128152.1.region007,RiPP-like,RiPPs,GCA_030292135.1,CP128152.1,3071,3071,3071,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9
CP128151.1.region002,arylpolyene.NRPS,Others,GCA_030292135.1,CP128151.1,3063,3063,3063,794,151,unknown_family,u_Others_151,139,unknown_family,u_Others_139
CP128152.1.region005,RiPP-like,RiPPs,GCA_030292135.1,CP128152.1,3069,3069,3069,2582,26,unknown_family,u_RiPPs_26,23,unknown_family,u_RiPPs_23
CP128152.1.region002,NI-siderophore,Others,GCA_030292135.1,CP128152.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin
CP128151.1.region001,NRPS,NRPS,GCA_030292135.1,CP128151.1,2910,2910,2910,,31,unknown_family,u_NRPS_31,26,unknown_family,u_NRPS_26
CP128152.1.region003,NRP-metallophore.NRPS,Others,GCA_030292135.1,CP128152.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
CP128151.1.region003,NRPS,NRPS,GCA_030292135.1,CP128151.1,3388,3064,3388,,314,unknown_family,u_NRPS_314,60,unknown_family,u_NRPS_60
CP128152.1.region008,terpene,Terpene,GCA_030292135.1,CP128152.1,2941,2941,2941,2941,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
CP128152.1.region004,betalactone,Others,GCA_030292135.1,CP128152.1,3068,3453,3068,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
CP128152.1.region001,LAP,RiPPs,GCA_030292135.1,CP128152.1,3065,3065,3065,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
JAUCFI010000003.1.region003,T3PKS,PKSother,GCA_030348515.1,JAUCFI010000003.1,3421,3421,3421,,16,unknown_family,u_PKSother_16,15,unknown_family,u_PKSother_15
JAUCFI010000003.1.region008,NI-siderophore,Others,GCA_030348515.1,JAUCFI010000003.1,3556,3415,3556,794,12,unknown_family,u_Others_12,3,unknown_family,u_Others_3
JAUCFI010000003.1.region002,betalactone,Others,GCA_030348515.1,JAUCFI010000003.1,3422,3422,3422,794,13,unknown_family,u_Others_13,1,known_family,fengycin
JAUCFI010000003.1.region004,terpene,Terpene,GCA_030348515.1,JAUCFI010000003.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18,17,unknown_family,u_Terpene_17
JAUCFI010000003.1.region006,LAP,RiPPs,GCA_030348515.1,JAUCFI010000003.1,2582,2582,2582,2582,14,unknown_family,u_RiPPs_14,14,unknown_family,u_RiPPs_14
JAUCFI010000003.1.region001,NRPS,NRPS,GCA_030348515.1,JAUCFI010000003.1,351,351,351,,21,known_family,koranimine,19,known_family,koranimine
JAUCFI010000003.1.region005,lassopeptide,RiPPs,GCA_030348515.1,JAUCFI010000003.1,3007,3007,3007,2582,25,unknown_family,u_RiPPs_25,22,unknown_family,u_RiPPs_22
JAUCFI010000003.1.region007,terpene,Terpene,GCA_030348515.1,JAUCFI010000003.1,2779,2779,2779,2488,17,unknown_family,u_Terpene_17,16,unknown_family,u_Terpene_16
JAVIWA010000059.1.region003,T3PKS,PKSother,GCA_031324045.1,JAVIWA010000059.1,2765,2637,2765,,88,unknown_family,u_PKSother_88,4,unknown_family,u_PKSother_4
JAVIWA010000001.1.region007,lanthipeptide-class-ii.cyclic-lactone-autoinducer,RiPPs,GCA_031324045.1,JAVIWA010000001.1,2420,3657,3657,2582,113,known_family,amyloliquecidin GF610,104,known_family,amyloliquecidin GF610
