bgc_id,product,bigscape_class,genome_id,accn_id,gcf_0.50,gcf_0.30,gcf_0.40,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,fam_id_0.40,fam_type_0.40,fam_known_compounds_0.40,fam_id_0.50,fam_type_0.50,fam_known_compounds_0.50
CP128166.1.region007,RiPP-like,RiPPs,GCA_030291975.1,CP128166.1,2975,3089,3089,2582,272,unknown_family,u_RiPPs_272,239,unknown_family,u_RiPPs_239,37,unknown_family,u_RiPPs_37
CP128166.1.region001,NI-siderophore,Others,GCA_030291975.1,CP128166.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin,8,known_family,petrobactin
CP128166.1.region002,LAP,RiPPs,GCA_030291975.1,CP128166.1,3433,3433,3433,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8,9,unknown_family,u_RiPPs_9
CP128166.1.region005,RiPP-like,RiPPs,GCA_030291975.1,CP128166.1,3057,3057,3057,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9,10,unknown_family,u_RiPPs_10
CP128166.1.region006,betalactone,Others,GCA_030291975.1,CP128166.1,3563,2937,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin,1,known_family,fengycin
CP128166.1.region008,NRP-metallophore.NRPS,Others,GCA_030291975.1,CP128166.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2,2,unknown_family,u_Others_2
CP128166.1.region004,terpene,Terpene,GCA_030291975.1,CP128166.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5,6,unknown_family,u_Terpene_6
CP128166.1.region003,lassopeptide,RiPPs,GCA_030291975.1,CP128166.1,3558,3259,3259,3259,35,unknown_family,u_RiPPs_35,29,unknown_family,u_RiPPs_29,3,unknown_family,u_RiPPs_3
CP128118.1.region007,LAP,RiPPs,GCA_030292075.1,CP128118.1,2582,2582,2582,2582,14,unknown_family,u_RiPPs_14,14,unknown_family,u_RiPPs_14,16,unknown_family,u_RiPPs_16
CP128118.1.region002,NRPS,NRPS,GCA_030292075.1,CP128118.1,3003,3003,3003,,39,unknown_family,u_NRPS_39,32,unknown_family,u_NRPS_32,33,unknown_family,u_NRPS_33
CP128118.1.region001,NRPS,NRPS,GCA_030292075.1,CP128118.1,351,351,351,,21,known_family,koranimine,19,known_family,koranimine,21,known_family,koranimine
CP128118.1.region005,terpene,Terpene,GCA_030292075.1,CP128118.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18,17,unknown_family,u_Terpene_17,19,unknown_family,u_Terpene_19
CP128118.1.region003,betalactone,Others,GCA_030292075.1,CP128118.1,2554,3422,2554,794,13,unknown_family,u_Others_13,1,known_family,fengycin,1,known_family,fengycin
CP128118.1.region008,terpene,Terpene,GCA_030292075.1,CP128118.1,2583,2617,2583,2488,17,unknown_family,u_Terpene_17,16,unknown_family,u_Terpene_16,18,unknown_family,u_Terpene_18
