bgc_id,genome_id,region,accession,start_pos,end_pos,contig_edge,product,region_length,most_similar_known_cluster_id,most_similar_known_cluster_description,most_similar_known_cluster_type,similarity,source,gbk_path
CP128166.1.region001,GCA_030291975.1,1.1,CP128166.1,166296,180014,False,['NI-siderophore'],13718,BGC0000942,petrobactin,Other,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030291975.1/CP128166.1.region001.gbk
CP128166.1.region002,GCA_030291975.1,1.2,CP128166.1,825485,849020,False,['LAP'],23535,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030291975.1/CP128166.1.region002.gbk
CP128166.1.region003,GCA_030291975.1,1.3,CP128166.1,3854757,3878675,False,['lassopeptide'],23918,BGC0001356,paeninodin,RiPP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030291975.1/CP128166.1.region003.gbk
CP128166.1.region004,GCA_030291975.1,1.4,CP128166.1,3986900,4008754,False,['terpene'],21854,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030291975.1/CP128166.1.region004.gbk
CP128166.1.region005,GCA_030291975.1,1.5,CP128166.1,4741976,4750981,False,['RiPP-like'],9005,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030291975.1/CP128166.1.region005.gbk
CP128166.1.region006,GCA_030291975.1,1.6,CP128166.1,4845624,4870862,False,['betalactone'],25238,BGC0001095,fengycin,NRP,0.4,bgcflow,data/interim/antismash/7.0.0/GCA_030291975.1/CP128166.1.region006.gbk
CP128166.1.region007,GCA_030291975.1,1.7,CP128166.1,4938641,4948950,False,['RiPP-like'],10309,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030291975.1/CP128166.1.region007.gbk
CP128166.1.region008,GCA_030291975.1,1.8,CP128166.1,4996065,5047826,False,"['NRP-metallophore', 'NRPS']",51761,BGC0000309,bacillibactin,NRP,0.8571428571428571,bgcflow,data/interim/antismash/7.0.0/GCA_030291975.1/CP128166.1.region008.gbk
CP128118.1.region001,GCA_030292075.1,1.1,CP128118.1,692008,752141,False,['NRPS'],60133,BGC0000377,koranimine,NRP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region001.gbk
CP128118.1.region002,GCA_030292075.1,1.2,CP128118.1,897556,941624,False,['NRPS'],44068,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region002.gbk
CP128118.1.region003,GCA_030292075.1,1.3,CP128118.1,2456412,2480582,False,['betalactone'],24170,BGC0001095,fengycin,NRP,0.4666666666666667,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region003.gbk
CP128118.1.region004,GCA_030292075.1,1.4,CP128118.1,3348995,3390084,False,['T3PKS'],41089,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region004.gbk
CP128118.1.region005,GCA_030292075.1,1.5,CP128118.1,3529534,3549626,False,['terpene'],20092,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region005.gbk
CP128118.1.region006,GCA_030292075.1,1.6,CP128118.1,3746216,3770202,False,['lassopeptide'],23986,BGC0001356,paeninodin,RiPP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region006.gbk
CP128118.1.region007,GCA_030292075.1,1.7,CP128118.1,4520006,4543545,False,['LAP'],23539,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region007.gbk
CP128118.1.region008,GCA_030292075.1,1.8,CP128118.1,5133662,5155558,False,['terpene'],21896,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region008.gbk
CP128118.1.region009,GCA_030292075.1,1.9,CP128118.1,5455690,5471204,False,['NI-siderophore'],15514,BGC0002683,schizokinen,Other,0.6,bgcflow,data/interim/antismash/7.0.0/GCA_030292075.1/CP128118.1.region009.gbk
CP128152.1.region001,GCA_030292135.1,1.1,CP128152.1,1227458,1250966,False,['LAP'],23508,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128152.1.region001.gbk
CP128152.1.region002,GCA_030292135.1,1.2,CP128152.1,1864300,1878006,False,['NI-siderophore'],13706,BGC0000942,petrobactin,Other,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128152.1.region002.gbk
CP128152.1.region003,GCA_030292135.1,1.3,CP128152.1,2235908,2287648,False,"['NRP-metallophore', 'NRPS']",51740,BGC0000309,bacillibactin,NRP,0.8571428571428571,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128152.1.region003.gbk
CP128152.1.region004,GCA_030292135.1,1.4,CP128152.1,2389259,2414498,False,['betalactone'],25239,BGC0001095,fengycin,NRP,0.4,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128152.1.region004.gbk
CP128152.1.region005,GCA_030292135.1,1.5,CP128152.1,2471186,2480582,False,['RiPP-like'],9396,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128152.1.region005.gbk
