	bgc_id	bgcflow_GCF_id
1	CP127194.1.region007	bgcflow_GCF_1
2	CP126083.1.region005	bgcflow_GCF_1
3	JAUCFF010000009.1.region005	bgcflow_GCF_1
4	CP126103.1.region001	bgcflow_GCF_1
5	JAUCFH010000001.1.region005	bgcflow_GCF_1
6	CP128137.1.region005	bgcflow_GCF_1
7	JAUCET010000002.1.region006	bgcflow_GCF_1
8	JAVIVO010000001.1.region004	bgcflow_GCF_1
9	JAVIVQ010000001.1.region006	bgcflow_GCF_1
10	CP126081.1.region006	bgcflow_GCF_1
11	CP128107.1.region005	bgcflow_GCF_1
12	JAUCEM010000006.1.region009	bgcflow_GCF_1
13	JAUCFD010000009.1.region004	bgcflow_GCF_1
14	CP126525.1.region005	bgcflow_GCF_1
15	JAUCFS010000005.1.region005	bgcflow_GCF_1
16	JAVIVX010000001.1.region004	bgcflow_GCF_1
17	CP126086.1.region005	bgcflow_GCF_1
18	CP126092.1.region003	bgcflow_GCF_1
19	JAUCFE010000008.1.region007	bgcflow_GCF_1
20	CP126590.1.region006	bgcflow_GCF_1
21	CP126111.1.region002	bgcflow_GCF_1
22	JAUCEN010000002.1.region001	bgcflow_GCF_1
23	JAUCFQ010000001.1.region008	bgcflow_GCF_1
24	JAVIVY010000003.1.region005	bgcflow_GCF_1
25	CP128112.1.region006	bgcflow_GCF_1
26	JAUCEZ010000009.1.region007	bgcflow_GCF_1
27	CP128109.1.region005	bgcflow_GCF_1
28	JAUCFO010000001.1.region008	bgcflow_GCF_1
29	JAUCFW010000007.1.region004	bgcflow_GCF_1
30	JAUCEW010000003.1.region003	bgcflow_GCF_1
31	CP126090.1.region006	bgcflow_GCF_1
32	JAVIWA010000059.1.region001	bgcflow_GCF_1
33	JAVIVU010000001.1.region003	bgcflow_GCF_1
34	CP128183.1.region005	bgcflow_GCF_1
35	CP126091.1.region004	bgcflow_GCF_1
36	JAUCFJ010000002.1.region001	bgcflow_GCF_1
37	CP126521.1.region006	bgcflow_GCF_1
38	JAVIVN010000001.1.region005	bgcflow_GCF_1
39	JAUCEY010000008.1.region007	bgcflow_GCF_1
40	JAUCFC010000003.1.region005	bgcflow_GCF_1
41	CP126082.1.region005	bgcflow_GCF_1
42	CP128166.1.region006	bgcflow_GCF_1
43	CP126087.1.region006	bgcflow_GCF_1
44	CP128116.1.region005	bgcflow_GCF_1
45	JAVIVP010000001.1.region005	bgcflow_GCF_1
46	CP126100.1.region005	bgcflow_GCF_1
47	JAUCFX010000005.1.region004	bgcflow_GCF_1
48	JAUCFT010000008.1.region004	bgcflow_GCF_1
49	JAUCEV010000001.1.region001	bgcflow_GCF_1
50	CP127376.1.region005	bgcflow_GCF_1
51	CP126112.1.region002	bgcflow_GCF_1
52	JAUCFI010000003.1.region002	bgcflow_GCF_1
53	JAVIVV010000002.1.region005	bgcflow_GCF_1
