genome_id,genome_id,source,organism,genus,species,strian,closest_placement_reference,input_file,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count,NI-siderophore,LAP,lassopeptide,terpene,RiPP-like,betalactone,NRP-metallophore.NRPS,NRPS,T3PKS,NRPS.arylpolyene,NRPS.T1PKS,opine-like-metallophore,LAP.thiopeptide,lanthipeptide-class-i,cyclic-lactone-autoinducer.lanthipeptide-class-ii,RRE-containing.lassopeptide,NRPS.T1PKS.transAT-PKS,NRPS.transAT-PKS,NRPS-like,cyclic-lactone-autoinducer,proteusin,lanthipeptide-class-ii,RRE-containing,NI-siderophore.terpene,LAP.sactipeptide.thiopeptide,NRPS.T1PKS.lanthipeptide-class-ii,NRPS.betalactone,LAP.ranthipeptide,NRP-metallophore.NRPS.betalactone,ranthipeptide.sactipeptide,NRPS.PKS-like.T3PKS.transAT-PKS,glycocin,CDPS,sactipeptide,other,epipeptide,transAT-PKS,NRPS.betalactone.transAT-PKS,NRPS.T3PKS.transAT-PKS,PKS-like,T3PKS.transAT-PKS,NRP-metallophore.NRPS.RiPP-like,T1PKS.transAT-PKS-like,T1PKS,ranthipeptide,phosphonate,lanthipeptide-class-iii,NRPS.PKS-like.transAT-PKS,LAP.terpene,NRPS.ladderane,NRPS-like.cyclic-lactone-autoinducer,arylpolyene,LAP.RRE-containing,arylpolyene.ladderane,NRPS.RRE-containing,RRE-containing.ladderane,redox-cofactor,NRPS.NRPS-like.T1PKS.transAT-PKS,NRP-metallophore.NRPS.lanthipeptide-class-iii,furan,NRPS.NRPS-like,NRPS.lanthipeptide-class-i,ladderane,lanthipeptide-class-ii.terpene,ectoine,other.phosphonate,LAP.redox-cofactor.thiopeptide,LAP.RRE-containing.cyclic-lactone-autoinducer.thiopeptide,RiPP-like.cyclic-lactone-autoinducer,RRE-containing.terpene,lanthipeptide-class-iv,nucleoside,NRPS.RiPP-like
GCA_030291975.1,GCA_030291975.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030292075.1,GCA_030292075.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030292135.1,GCA_030292135.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348515.1,GCA_030348515.1,ncbi,,,,,,,8.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_031324045.1,GCA_031324045.1,ncbi,,,,,,,13.0,1.0,0.0,0.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348445.1,GCA_030348445.1,ncbi,,,,,,,16.0,0.0,0.0,0.0,1.0,,1.0,1.0,,,1.0,3.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123125.1,GCA_030123125.1,ncbi,,,,,,,11.0,0.0,0.0,0.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030219985.1,GCA_030219985.1,ncbi,,,,,,,12.0,1.0,0.0,0.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030123185.1,GCA_030123185.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_030348705.1,GCA_030348705.1,ncbi,,,,,,,9.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
